i,group,x1,x2,omega1,omega2,A1,A2,res1,res2,lambda_min,lambda_max,anisotropy,detG,logdetG,lambda_radial,lambda_tangent,ratio_tangent_radial
204,0,0.426808012595651,0.16449263654962942,1.0062579773375426,0.44276855135813314,1.0120949231079643,0.4446649648752484,-0.005836945770421709,-0.0018964135171152807,2.0868922321153622,2.461060294982495,1.1792943867004864,5.135967612366512,1.6362682603643721,2.0900897443051076,2.45786278279275,1.1759604052838966
211,0,0.42661906864407223,0.1644794076853338,1.0062579773375426,0.44276855135813314,1.0116323340351054,0.44464755135603595,-0.00537435669756281,-0.0018789999979028082,2.0867489921725215,2.460227481767364,1.178976240552062,5.133877218093186,1.6358611667155967,2.0899408778933006,2.4570355960465844,1.1756483745718789
212,0,0.42660349344856374,0.16447221138670773,1.0062579773375426,0.44276855135813314,1.0115948821324392,0.4446282879197028,-0.005336904794896569,-0.0018597365615696804,2.0867268437391697,2.4601572468807715,1.1789550962369653,5.133676166885557,1.6358220042783311,2.0899197903373374,2.456964300282603,1.1756261228982479
213,0,0.42675801378342215,0.16449316050024493,1.0062579773375426,0.44276855135813314,1.011972062659303,0.44467210727499773,-0.0057140853217603205,-0.0019035559168645855,2.0868611280741014,2.4608409498212493,1.179206856036598,5.135433320554915,1.6361642255174085,2.0900561478768998,2.457645930018451,1.1758755536376153
216,0,0.42717634304740765,0.1645594816865177,1.0062579773375426,0.44276855135813314,1.0129920767801,0.4448186774907171,-0.0067340994425573175,-0.0020501261325839293,2.0872385766831143,2.462693583770313,1.1798812130445788,5.140229050595386,1.637097640846844,2.0904366125854583,2.459495547867969,1.176546341113906
220,0,0.426617728571676,0.164466305859457,1.0062579773375426,0.44276855135813314,1.0116305040192513,0.44460944836865524,-0.005372526681708623,-0.0018408970105220912,2.086725985057546,2.460218215630098,1.1789847987934323,5.133801279467234,1.635846374934578,2.0899210839385782,2.457023116749066,1.1756535381320057
225,0,0.4266121966200263,0.16447392631321953,1.0062579773375426,0.44276855135813314,1.0116160669129544,0.44463231850881,-0.005358089575411729,-0.001863767150676876,2.0867353223495897,2.460195897563665,1.1789688281087665,5.133777679345652,1.6358417779167849,2.0899282529058003,2.457002967007454,1.175639863995943
228,0,0.42656627877893216,0.16447611413062782,1.0062579773375426,0.44276855135813314,1.011503043314702,0.44464385885079416,-0.005245065977159458,-0.0018753074926610158,2.086709596420767,2.4599948854768234,1.1788870332969834,5.133294934670492,1.6357477404645016,2.0898998017487456,2.4568046801488426,1.175560990097748
230,0,0.4265430237879506,0.1644647017589849,1.0062579773375426,0.44276855135813314,1.011447198207087,0.44461314523701084,-0.00518922086954432,-0.0018445938788776983,2.086675351281198,2.4598898291338425,1.1788560341327148,5.132991473320907,1.635688622427538,2.089867304503769,2.4566978759112716,1.1755281642126103
231,0,0.42699768073729216,0.16449760544782643,1.0062579773375426,0.44276855135813314,1.0125602098712148,0.44465817516008266,-0.006302232533672125,-0.0018896238019495137,2.08702183857051,2.4618941315574547,1.1796206853511944,5.1380268168089875,1.636669117982944,2.090227041498176,2.4586889286297873,1.1762784041237526
